Student_ID,Age,Gender,Program,Year,Study_Hours_Per_Week,Attendance_Percent,Assignment_Score,Midterm_Score,Internet_Access,Previous_GPA,Extracurricular_Activities,Final_Score,Academic_Performance
STU0251,20,Female,Business Analytics,2,7.3,75.1,72.1,71.0,Yes,3.48,Club,83.2,Distinction
STU0252,20,Female,Computer Science,3,6.6,85.8,68.9,84.4,Yes,3.57,None,100.0,High Distinction
STU0253,23,Female,Computer Science,1,11.5,83.3,73.0,75.2,No,3.02,None,97.6,High Distinction
STU0254,20,Male,Information Technology,2,21.2,78.8,65.3,55.1,Yes,2.95,Sports,100.0,Distinction
STU0255,19,Male,Software Engineering,4,5.9,79.7,44.6,100.0,Yes,3.14,Club,86.8,Distinction
STU0256,21,Male,Data Science,2,,90.3,98.5,70.9,Yes,2.53,Multiple,73.8,High Distinction
STU0257,24,Female,Software Engineering,2,12.3,79.3,74.0,65.8,No,2.96,Multiple,91.4,Distinction
STU0258,22,Male,Business Analytics,4,18.3,83.2,,82.5,Yes,3.39,Club,100.0,High Distinction
STU0259,21,Male,Computer Science,3,22.2,100.0,71.2,71.7,Yes,3.34,Volunteer,100.0,High Distinction
STU0260,19,Female,Business Analytics,1,12.2,71.2,62.4,74.0,Yes,2.93,Sports,87.5,Distinction
STU0261,21,Female,Information Technology,1,12.5,67.3,69.6,100.0,Yes,3.15,Volunteer,100.0,High Distinction
STU0262,25,Male,Software Engineering,1,21.9,91.1,51.2,63.9,Yes,2.68,None,100.0,Distinction
STU0263,19,Male,Computer Science,3,3.8,77.9,100.0,63.2,Yes,3.37,Sports,94.2,High Distinction
STU0264,21,Male,Business Analytics,2,12.7,81.1,56.0,69.7,Yes,3.01,Club,93.0,Distinction
STU0265,23,Male,Computer Science,1,16.1,77.0,58.6,84.1,Yes,2.93,None,100.0,High Distinction
STU0266,22,Female,Information Technology,4,17.7,81.7,66.3,45.4,Yes,2.89,Volunteer,100.0,Distinction
STU0267,22,Male,Data Science,2,11.9,98.4,88.7,38.5,Yes,3.02,Volunteer,90.2,Distinction
STU0268,22,Male,Business Analytics,1,15.2,91.2,72.2,59.2,Yes,2.85,Sports,98.6,High Distinction
STU0269,20,Female,Information Technology,2,2.0,91.8,55.9,43.5,Yes,3.35,Sports,76.3,Credit
STU0270,20,Male,Information Technology,3,11.1,71.3,88.3,61.6,Yes,2.87,Multiple,100.0,High Distinction
STU0271,22,Female,Information Technology,1,17.7,73.6,81.5,75.5,Yes,,Volunteer,100.0,High Distinction
STU0272,22,Female,Data Science,1,9.1,58.4,79.0,54.6,Yes,3.71,None,100.0,High Distinction
STU0273,23,Female,Software Engineering,4,15.4,76.7,81.3,46.6,Yes,2.65,Sports,100.0,High Distinction
STU0274,23,Male,Software Engineering,2,17.7,92.6,100.0,69.0,Yes,3.08,Club,100.0,High Distinction
STU0275,21,Male,Data Science,2,12.9,88.7,100.0,80.9,Yes,2.76,Club,100.0,High Distinction
STU0276,21,Female,Information Technology,2,16.0,82.0,63.1,42.6,Yes,2.9,None,91.6,Distinction
STU0277,22,Male,Data Science,1,9.2,83.8,93.1,80.3,Yes,3.95,Sports,100.0,High Distinction
STU0278,21,Male,Information Technology,1,13.8,77.8,77.0,80.3,Yes,2.91,Multiple,95.4,High Distinction
STU0279,22,Female,Information Technology,2,18.7,85.8,78.5,82.3,Yes,3.21,Club,100.0,High Distinction
STU0280,22,Female,Software Engineering,1,15.9,90.9,50.0,86.3,Yes,3.29,Multiple,100.0,High Distinction
STU0281,23,Male,Computer Science,1,11.5,69.5,69.8,100.0,No,2.6,Volunteer,92.4,High Distinction
STU0282,20,Female,Software Engineering,4,16.3,86.7,61.4,62.7,Yes,2.67,Multiple,99.7,Distinction
STU0283,20,Male,Business Analytics,4,19.3,92.4,82.8,69.6,Yes,2.51,None,100.0,High Distinction
STU0284,19,Male,Business Analytics,3,2.7,80.3,85.9,61.8,Yes,2.65,Volunteer,83.9,High Distinction
STU0285,21,Male,Data Science,4,22.0,90.3,45.0,68.0,Yes,1.77,None,100.0,Distinction
STU0286,18,Male,Software Engineering,1,13.0,100.0,71.7,91.0,Yes,3.3,Club,100.0,High Distinction
STU0287,20,Female,Business Analytics,4,17.6,83.1,86.6,47.8,Yes,3.97,Sports,100.0,High Distinction
STU0288,21,Female,Business Analytics,1,22.2,87.5,69.6,55.1,Yes,3.12,Sports,100.0,Distinction
STU0289,20,Female,Computer Science,4,6.8,77.4,81.5,88.7,Yes,2.41,Multiple,96.0,High Distinction
STU0290,21,Female,Business Analytics,4,10.7,85.6,76.6,83.3,Yes,2.76,Multiple,100.0,High Distinction
STU0291,18,Male,Computer Science,3,13.3,88.1,76.4,62.6,Yes,2.84,None,100.0,High Distinction
STU0292,18,Male,Data Science,4,10.3,85.8,68.5,80.8,Yes,2.59,Club,98.0,High Distinction
STU0293,22,Female,Business Analytics,3,25.4,74.8,56.2,73.1,Yes,3.44,Sports,100.0,Distinction
STU0294,20,Male,Data Science,1,9.9,85.9,57.4,90.5,Yes,3.41,Sports,100.0,High Distinction
STU0295,19,Male,Computer Science,2,11.7,97.2,81.2,69.1,Yes,2.53,Volunteer,100.0,High Distinction
STU0296,21,Male,Computer Science,3,16.2,88.0,72.3,83.4,Yes,3.38,Sports,100.0,High Distinction
STU0297,22,Female,Data Science,1,7.8,92.7,70.2,100.0,Yes,3.74,Multiple,100.0,High Distinction
STU0298,19,Female,Computer Science,3,12.6,81.9,66.5,77.0,Yes,3.91,None,100.0,High Distinction
STU0299,21,Female,Computer Science,4,16.9,90.7,68.0,68.7,No,4.0,Club,100.0,High Distinction
STU0300,19,Male,Computer Science,1,13.0,86.5,85.6,78.8,Yes,2.64,Club,92.7,High Distinction
STU0301,18,Female,Software Engineering,3,14.4,75.4,67.6,62.5,Yes,4.0,None,100.0,High Distinction
STU0302,21,Female,Data Science,4,11.8,86.9,54.6,100.0,Yes,2.89,Sports,100.0,High Distinction
STU0303,21,Female,Information Technology,4,5.9,75.1,81.7,70.7,Yes,2.78,Volunteer,87.8,High Distinction
STU0304,21,Female,Information Technology,4,16.9,78.3,69.3,63.9,Yes,3.2,Volunteer,100.0,High Distinction
STU0305,22,Female,Information Technology,2,25.5,85.7,72.4,55.5,Yes,2.79,Sports,100.0,High Distinction
STU0306,24,Female,Data Science,4,15.1,86.7,92.9,84.5,No,3.23,Club,100.0,High Distinction
STU0307,21,Male,Data Science,3,16.4,73.3,71.7,81.0,Yes,2.46,None,100.0,High Distinction
STU0308,20,Male,Computer Science,1,19.2,93.5,75.8,60.5,Yes,2.94,None,100.0,High Distinction
STU0309,22,Female,Computer Science,2,7.4,89.1,56.7,76.6,Yes,3.63,Sports,94.4,Distinction
STU0310,20,Female,Computer Science,3,25.2,77.7,69.1,45.4,Yes,3.02,None,100.0,Distinction
STU0311,20,Male,Data Science,1,16.2,70.2,79.9,70.8,Yes,3.11,Volunteer,100.0,High Distinction
STU0312,18,Male,Data Science,3,24.8,82.7,51.8,74.8,Yes,3.26,Club,100.0,Distinction
STU0313,18,Female,Information Technology,3,10.6,80.0,74.6,93.6,Yes,3.58,Multiple,100.0,High Distinction
STU0314,24,Female,Computer Science,1,25.9,85.0,73.3,56.4,Yes,2.31,Club,100.0,High Distinction
STU0315,23,Female,Computer Science,3,19.7,80.7,72.5,48.8,Yes,3.31,Multiple,100.0,Distinction
STU0316,22,Female,Software Engineering,3,18.3,65.9,85.5,54.6,No,2.93,Club,90.9,High Distinction
STU0317,20,Male,Information Technology,2,16.4,80.5,76.3,48.0,Yes,3.12,Club,100.0,Distinction
STU0318,19,Female,Data Science,1,13.5,81.2,91.2,88.0,Yes,3.53,Multiple,100.0,High Distinction
STU0319,19,Female,Business Analytics,1,22.2,89.7,59.1,91.2,Yes,2.51,Club,100.0,High Distinction
STU0320,19,Female,Information Technology,2,15.8,77.7,73.8,72.8,Yes,2.59,None,100.0,High Distinction
STU0321,21,Female,Computer Science,4,3.2,99.1,73.1,86.3,Yes,2.18,Volunteer,88.4,High Distinction
STU0322,22,Male,Computer Science,1,8.3,66.8,58.1,70.0,Yes,2.8,Multiple,84.6,Distinction
STU0323,21,Male,Business Analytics,3,13.9,95.8,84.4,66.6,Yes,3.65,Volunteer,100.0,High Distinction
STU0324,20,Male,Data Science,1,16.9,82.0,100.0,63.0,Yes,3.0,Club,100.0,High Distinction
STU0325,24,Female,Data Science,2,14.7,91.7,71.8,63.3,Yes,2.45,Club,100.0,High Distinction
STU0326,22,Female,Business Analytics,4,22.3,84.7,78.6,44.8,Yes,2.83,Multiple,100.0,Distinction
STU0327,21,Male,Computer Science,3,3.3,94.3,73.1,72.0,Yes,2.38,None,77.6,Distinction
STU0328,21,Female,Software Engineering,1,15.9,80.5,62.7,67.4,Yes,2.54,Club,100.0,Distinction
STU0329,20,Female,Data Science,2,4.1,74.1,48.3,79.2,Yes,3.22,None,68.5,Credit
STU0330,19,Male,Information Technology,1,19.6,96.8,62.8,69.4,Yes,2.52,Club,100.0,High Distinction
STU0331,20,Male,Software Engineering,2,14.4,83.0,53.9,65.6,Yes,3.55,Club,100.0,Distinction
STU0332,22,Male,Business Analytics,3,17.5,86.0,94.2,54.9,Yes,3.02,None,100.0,High Distinction
STU0333,18,Male,Business Analytics,1,9.8,95.1,70.5,69.1,Yes,3.09,None,100.0,High Distinction
STU0334,19,Female,Data Science,2,22.7,74.7,67.5,79.1,Yes,2.92,Club,100.0,High Distinction
STU0335,18,Female,Data Science,2,45.0,89.4,83.6,50.8,Yes,3.4,None,100.0,High Distinction
STU0336,18,Male,Data Science,4,18.5,78.7,57.4,69.3,No,3.4,None,100.0,Distinction
STU0337,23,Female,Computer Science,4,14.2,82.8,62.0,71.5,Yes,3.2,Volunteer,100.0,High Distinction
STU0338,22,Male,Information Technology,1,18.5,84.7,72.9,57.2,Yes,3.3,Sports,100.0,High Distinction
STU0339,20,Male,Software Engineering,3,10.8,70.5,85.4,59.2,Yes,2.95,Sports,95.8,High Distinction
STU0340,19,Female,Computer Science,2,20.1,77.0,78.5,71.5,Yes,3.29,Multiple,100.0,High Distinction
STU0341,21,Male,Information Technology,2,24.9,96.2,75.2,51.0,Yes,2.9,None,100.0,High Distinction
STU0342,20,Female,Information Technology,3,21.4,92.0,73.0,73.2,Yes,3.05,Sports,100.0,High Distinction
STU0343,19,Female,Information Technology,4,10.6,83.4,77.2,54.6,Yes,2.93,Club,92.3,Distinction
STU0344,20,Female,Business Analytics,4,17.2,86.2,74.6,83.9,Yes,2.84,Volunteer,100.0,High Distinction
STU0345,20,Female,Software Engineering,3,7.2,81.4,58.6,100.0,Yes,2.74,Multiple,97.8,High Distinction
STU0346,21,Male,Information Technology,2,18.4,96.2,72.6,55.1,Yes,3.26,Multiple,100.0,High Distinction
STU0347,21,Female,Computer Science,3,17.7,82.2,58.0,76.0,Yes,3.64,Volunteer,100.0,High Distinction
STU0348,18,Male,Computer Science,1,3.8,86.1,73.1,57.1,Yes,3.58,None,80.9,Distinction
STU0349,20,Male,Software Engineering,3,8.0,94.3,65.8,83.6,Yes,2.48,None,100.0,High Distinction
STU0350,21,Male,Data Science,2,13.3,77.0,100.0,49.0,No,3.63,Sports,100.0,High Distinction
STU0351,21,Male,Information Technology,3,13.2,98.0,71.5,75.2,Yes,2.91,None,96.5,High Distinction
STU0352,23,Female,Data Science,1,7.7,70.2,53.7,54.9,Yes,3.32,Club,75.3,Credit
STU0353,21,Female,Software Engineering,1,17.3,98.7,70.3,64.9,Yes,2.64,Club,100.0,High Distinction
STU0354,19,Male,Software Engineering,4,16.5,80.6,78.8,52.5,No,3.11,None,100.0,High Distinction
STU0355,18,Male,Software Engineering,1,13.8,81.8,93.8,80.3,Yes,3.19,Volunteer,100.0,High Distinction
STU0356,21,Female,Information Technology,2,10.5,67.0,64.3,55.4,Yes,2.38,None,81.0,Credit
STU0357,18,Male,Data Science,1,21.3,79.9,51.4,76.3,Yes,3.32,Sports,100.0,Distinction
STU0358,21,Female,Business Analytics,1,24.9,74.6,82.6,62.8,Yes,3.66,Club,100.0,High Distinction
STU0359,24,Male,Software Engineering,1,12.1,78.5,,66.3,Yes,2.97,Sports,95.1,Distinction
STU0360,21,Female,Data Science,1,11.3,82.8,66.3,70.2,Yes,3.66,Sports,94.2,Distinction
STU0361,20,Male,Data Science,4,17.9,92.6,68.7,56.6,Yes,2.96,None,100.0,Distinction
STU0362,21,Male,Data Science,2,12.9,85.9,71.1,71.2,Yes,3.43,Sports,100.0,High Distinction
STU0363,20,Female,Computer Science,4,14.2,86.8,81.0,91.0,Yes,2.05,Volunteer,100.0,High Distinction
STU0364,21,Male,Business Analytics,3,19.4,74.1,63.1,56.3,Yes,4.0,Multiple,100.0,Distinction
STU0365,24,Male,Software Engineering,2,3.5,76.1,68.4,85.6,Yes,3.72,Sports,92.0,High Distinction
STU0366,20,Female,Software Engineering,3,22.9,100.0,71.8,90.5,Yes,2.92,Sports,100.0,High Distinction
STU0367,24,Male,Computer Science,2,15.4,77.4,73.9,55.8,Yes,2.16,Club,90.2,Distinction
STU0368,23,Female,Computer Science,3,12.5,98.9,73.3,46.2,Yes,3.18,Multiple,97.2,Distinction
STU0369,19,Female,Computer Science,2,14.5,81.8,77.7,72.5,Yes,2.4,None,100.0,High Distinction
STU0370,18,Male,Data Science,2,14.8,84.0,83.0,59.8,Yes,3.25,Sports,97.1,High Distinction
STU0371,19,Male,Data Science,4,4.6,93.6,77.1,96.0,Yes,3.24,Volunteer,95.5,High Distinction
STU0372,18,Male,Computer Science,4,24.0,95.4,77.9,68.5,Yes,2.63,Club,100.0,High Distinction
STU0373,19,Male,Business Analytics,4,15.2,83.0,51.4,56.0,Yes,3.55,None,91.5,Credit
STU0374,22,Male,Software Engineering,2,17.7,80.5,72.7,50.8,Yes,3.41,Club,100.0,Distinction
STU0375,18,Male,Data Science,3,20.7,83.5,78.2,84.3,Yes,3.49,None,100.0,High Distinction
STU0376,20,Male,Business Analytics,2,8.9,87.0,81.5,59.4,Yes,3.05,Sports,86.2,Distinction
STU0377,23,Female,Business Analytics,2,17.8,92.0,63.0,68.7,Yes,2.41,Club,100.0,High Distinction
STU0378,18,Male,Business Analytics,1,13.4,84.0,63.4,82.3,Yes,3.49,Multiple,100.0,High Distinction
STU0379,22,Female,Information Technology,3,20.1,89.6,64.5,60.7,Yes,2.93,Sports,100.0,Distinction
STU0380,20,Male,Business Analytics,1,2.2,98.7,79.0,67.3,Yes,2.42,None,79.1,Distinction
STU0381,19,Male,Data Science,2,14.4,87.4,85.4,67.8,Yes,3.66,None,100.0,High Distinction
STU0382,22,Female,Software Engineering,4,11.4,86.8,66.7,78.2,Yes,3.99,Multiple,100.0,High Distinction
STU0383,21,Male,Business Analytics,1,17.6,70.3,83.8,76.9,Yes,3.03,None,100.0,High Distinction
STU0384,23,Male,Data Science,1,17.8,60.3,73.6,64.7,Yes,4.0,Sports,100.0,High Distinction
STU0385,22,Female,Computer Science,1,10.8,87.5,70.4,69.0,Yes,3.09,None,88.3,Distinction
STU0386,22,Male,Business Analytics,4,10.7,83.1,69.3,62.4,Yes,2.88,Volunteer,95.2,Distinction
STU0387,20,Male,Computer Science,2,14.3,79.4,81.7,45.8,Yes,2.77,Sports,100.0,High Distinction
STU0388,19,Male,Information Technology,2,9.6,86.2,76.2,71.9,Yes,3.79,Sports,100.0,High Distinction
STU0389,22,Female,Data Science,4,20.1,83.5,100.0,96.4,Yes,2.7,Sports,100.0,High Distinction
STU0390,22,Male,Software Engineering,4,12.8,94.2,60.9,54.7,Yes,3.38,Multiple,91.3,Distinction
STU0391,25,Male,Computer Science,2,2.0,84.8,78.7,56.4,Yes,2.8,Club,74.0,Distinction
STU0392,20,Male,Information Technology,3,12.8,77.3,65.1,54.9,Yes,2.84,Club,100.0,Distinction
STU0393,20,Male,Data Science,3,8.8,92.9,60.7,78.9,Yes,3.51,Multiple,95.9,High Distinction
STU0394,22,Female,Computer Science,3,5.2,82.0,71.9,74.7,No,2.88,Multiple,84.7,Distinction
STU0395,20,Female,Business Analytics,1,7.6,88.7,73.8,65.6,Yes,2.87,Sports,83.9,Distinction
STU0396,24,Male,Data Science,4,15.7,79.7,100.0,54.2,Yes,3.56,Multiple,100.0,High Distinction
STU0397,23,Male,Business Analytics,2,23.0,78.2,69.6,69.4,Yes,3.77,None,100.0,High Distinction
STU0398,20,Female,Computer Science,2,16.9,84.8,57.3,44.5,Yes,3.34,Sports,100.0,Distinction
STU0399,22,Female,Information Technology,2,11.4,84.1,75.5,70.2,Yes,2.76,Multiple,100.0,High Distinction
STU0400,22,Male,Data Science,1,,88.3,45.0,81.1,Yes,2.82,None,100.0,Distinction
STU0401,19,Female,Business Analytics,1,12.2,81.6,70.8,49.2,Yes,3.09,None,93.6,Distinction
STU0402,23,Male,Computer Science,3,10.8,67.5,72.2,45.0,Yes,3.19,Sports,85.0,Distinction
STU0403,21,Female,Data Science,1,8.1,80.1,82.3,91.7,Yes,2.61,Club,87.9,High Distinction
STU0404,22,Female,Computer Science,2,4.5,91.1,84.7,58.8,No,3.38,Sports,80.9,Distinction
STU0405,20,Female,Data Science,2,12.7,81.3,65.5,85.0,Yes,3.09,Volunteer,100.0,High Distinction
STU0406,23,Female,Computer Science,1,15.9,81.8,70.0,65.7,No,2.28,Multiple,98.1,High Distinction
STU0407,20,Male,Software Engineering,4,14.4,92.9,62.0,65.6,Yes,2.63,Club,100.0,Distinction
STU0408,18,Female,Information Technology,1,12.5,77.6,57.3,74.6,Yes,2.82,None,93.7,Distinction
STU0409,23,Female,Information Technology,2,9.3,70.1,76.0,54.7,Yes,3.02,Multiple,95.6,Distinction
STU0410,19,Male,Computer Science,2,18.6,82.6,55.4,70.0,Yes,3.9,None,100.0,Distinction
STU0411,20,Female,Information Technology,1,7.1,79.6,66.6,62.3,Yes,3.16,None,92.8,Distinction
STU0412,24,Female,Software Engineering,1,19.7,75.3,59.1,48.2,Yes,2.67,None,88.1,Credit
STU0413,24,Male,Software Engineering,3,9.0,82.4,79.1,73.1,Yes,3.15,Club,70.4,Distinction
STU0414,21,Female,Information Technology,4,10.5,88.4,95.4,64.1,Yes,2.89,None,100.0,High Distinction
STU0415,21,Male,Information Technology,1,6.2,83.9,55.1,65.6,Yes,3.2,None,75.5,Credit
STU0416,20,Male,Data Science,3,12.0,86.8,47.9,49.8,Yes,3.31,Sports,89.8,Credit
STU0417,20,Male,Software Engineering,3,20.9,100.0,70.4,91.9,Yes,3.59,None,100.0,High Distinction
STU0418,20,Male,Business Analytics,4,18.1,80.9,72.2,81.2,Yes,3.04,Club,100.0,High Distinction
STU0419,21,Female,Information Technology,2,20.9,86.5,74.8,82.5,Yes,3.79,Volunteer,100.0,High Distinction
STU0420,22,Male,Information Technology,2,18.1,79.4,66.2,63.4,Yes,3.46,Volunteer,100.0,High Distinction
STU0421,22,Female,Data Science,2,8.4,76.4,69.4,42.1,Yes,2.73,None,87.6,Distinction
STU0422,22,Female,Computer Science,3,13.0,78.7,76.8,97.3,Yes,4.0,None,100.0,High Distinction
STU0423,19,Female,Business Analytics,4,10.3,79.7,85.5,67.1,Yes,3.2,Multiple,96.8,High Distinction
STU0424,21,Female,Information Technology,1,23.0,87.2,46.6,56.8,Yes,2.67,None,100.0,Distinction
STU0425,18,Female,Data Science,2,7.8,100.0,67.2,74.3,Yes,3.79,Multiple,93.7,High Distinction
STU0426,21,Female,Computer Science,4,20.4,77.6,74.8,85.5,Yes,3.98,None,100.0,High Distinction
STU0427,20,Female,Business Analytics,4,20.4,80.3,60.1,67.7,Yes,3.04,Multiple,100.0,Distinction
STU0428,23,Female,Business Analytics,4,26.0,83.4,94.5,87.2,Yes,2.82,Sports,100.0,High Distinction
STU0429,20,Female,Data Science,3,12.5,87.6,63.7,84.2,Yes,2.97,Sports,100.0,High Distinction
STU0430,19,Female,Computer Science,2,19.3,86.4,71.5,51.9,Yes,3.37,Club,100.0,Distinction
STU0431,19,Male,Business Analytics,3,28.7,95.6,79.2,57.9,Yes,3.63,Club,100.0,High Distinction
STU0432,22,Male,Business Analytics,3,11.3,62.2,64.3,82.4,Yes,3.31,Sports,93.3,High Distinction
STU0433,21,Male,Business Analytics,1,5.8,62.5,48.0,27.3,Yes,3.1,Club,73.0,Pass
STU0434,19,Female,Business Analytics,2,3.7,79.5,66.4,65.8,Yes,3.72,Volunteer,88.9,Distinction
STU0435,19,Male,Data Science,3,19.3,93.9,85.4,46.5,No,2.91,None,100.0,High Distinction
STU0436,22,Male,Data Science,1,3.7,69.9,67.6,60.9,Yes,3.51,None,75.3,Distinction
STU0437,18,Male,Information Technology,3,12.8,56.9,61.0,63.5,Yes,2.92,Sports,86.3,Distinction
STU0438,22,Female,Software Engineering,3,17.6,89.1,84.0,62.6,Yes,3.24,None,100.0,High Distinction
STU0439,22,Female,Business Analytics,4,16.1,86.2,67.7,59.7,Yes,3.0,Club,100.0,Distinction
STU0440,19,Female,Computer Science,1,17.6,74.2,65.4,51.5,Yes,3.02,None,100.0,Distinction
STU0441,19,Female,Computer Science,1,16.3,75.1,73.9,100.0,Yes,2.88,Sports,100.0,High Distinction
STU0442,25,Male,Information Technology,3,22.7,75.3,82.0,96.0,Yes,3.66,None,100.0,High Distinction
STU0443,20,Male,Data Science,2,9.3,85.0,100.0,50.6,Yes,2.72,Club,100.0,High Distinction
STU0444,20,Male,Data Science,3,46.0,78.4,82.8,91.7,Yes,2.72,None,100.0,High Distinction
STU0445,22,Male,Data Science,3,10.4,,87.1,62.0,Yes,4.0,None,100.0,High Distinction
STU0446,24,Female,Business Analytics,1,20.0,58.3,65.4,69.9,Yes,3.49,None,100.0,High Distinction
STU0447,25,Female,Information Technology,2,20.4,76.3,58.7,67.1,Yes,1.98,Multiple,100.0,Distinction
STU0448,22,Female,Computer Science,2,17.7,73.9,72.8,58.1,Yes,2.8,None,94.4,Distinction
STU0449,20,Male,Information Technology,2,22.1,81.7,73.4,82.8,No,2.23,Club,100.0,High Distinction
STU0450,19,Female,Information Technology,4,7.9,79.2,58.0,69.9,Yes,2.62,None,92.2,Distinction
STU0451,22,Female,Computer Science,4,25.0,91.2,69.7,60.9,Yes,1.64,None,97.9,Distinction
STU0452,21,Male,Computer Science,3,24.1,67.3,77.2,48.4,Yes,2.99,Sports,100.0,High Distinction
STU0453,20,Male,Business Analytics,3,19.4,84.4,76.7,54.6,Yes,2.54,Sports,100.0,High Distinction
STU0454,23,Female,Data Science,2,25.7,89.0,78.6,43.4,Yes,3.08,Multiple,100.0,Distinction
STU0455,19,Female,Software Engineering,4,5.1,100.0,75.8,68.2,No,2.32,Multiple,85.5,Distinction
STU0456,21,Female,Software Engineering,3,11.9,79.7,65.4,50.1,Yes,3.09,Volunteer,100.0,Distinction
STU0457,18,Female,Data Science,3,10.6,86.9,65.3,64.0,Yes,2.86,Club,92.9,Distinction
STU0458,20,Female,Information Technology,4,19.3,67.8,56.4,88.6,Yes,3.73,Sports,100.0,High Distinction
STU0459,18,Female,Business Analytics,1,8.7,62.5,95.2,86.0,Yes,3.69,Sports,100.0,High Distinction
STU0460,19,Male,Data Science,4,19.5,91.6,72.2,67.5,Yes,3.4,Multiple,100.0,High Distinction
STU0461,19,Male,Computer Science,1,,83.9,69.1,66.7,Yes,2.9,Club,100.0,High Distinction
STU0462,21,Male,Information Technology,2,19.2,94.6,59.9,96.2,No,3.94,Club,100.0,High Distinction
STU0463,22,Female,Software Engineering,2,16.7,71.6,100.0,75.8,Yes,2.35,None,100.0,High Distinction
STU0464,21,Male,Information Technology,4,9.1,88.7,58.0,63.1,Yes,2.42,None,89.1,Distinction
STU0465,24,Female,Business Analytics,4,9.9,100.0,66.4,46.6,Yes,3.01,Multiple,86.4,Distinction
STU0466,20,Female,Business Analytics,3,22.5,87.8,77.4,73.9,Yes,4.0,Sports,100.0,High Distinction
STU0467,20,Male,Computer Science,3,19.7,86.5,79.8,80.4,No,2.96,Sports,100.0,High Distinction
STU0468,23,Female,Information Technology,3,14.8,84.1,84.5,58.5,Yes,2.97,None,94.1,High Distinction
STU0469,19,Female,Information Technology,4,12.5,69.9,95.5,72.4,Yes,2.4,Volunteer,88.3,High Distinction
STU0470,24,Male,Computer Science,2,2.8,96.2,78.6,62.5,Yes,3.48,None,84.9,Distinction
STU0471,18,Male,Computer Science,2,8.6,78.5,58.3,65.2,Yes,3.48,Volunteer,94.9,Distinction
STU0472,24,Male,Software Engineering,1,26.5,88.5,68.7,30.7,Yes,3.41,None,100.0,Distinction
STU0473,18,Female,Information Technology,3,7.3,69.9,76.0,64.7,Yes,2.77,Multiple,79.2,Distinction
STU0474,23,Male,Business Analytics,3,16.1,73.4,98.9,82.5,Yes,2.73,Volunteer,100.0,High Distinction
STU0475,21,Male,Information Technology,2,21.0,96.9,53.8,58.5,Yes,2.47,None,100.0,Distinction
STU0476,25,Female,Software Engineering,1,7.5,80.9,87.6,68.8,Yes,3.09,Club,92.9,High Distinction
STU0477,18,Male,Information Technology,4,16.1,97.1,74.3,56.7,Yes,2.56,Sports,100.0,High Distinction
STU0478,21,Male,Information Technology,1,20.6,83.3,82.9,73.4,Yes,2.52,None,100.0,High Distinction
STU0479,24,Male,Software Engineering,3,15.1,67.4,70.7,64.8,Yes,2.86,Multiple,100.0,High Distinction
STU0480,21,Female,Software Engineering,4,32.2,92.0,61.0,53.9,Yes,2.83,Sports,100.0,Distinction
STU0481,21,Female,Computer Science,2,5.0,78.7,81.8,88.0,Yes,2.81,Sports,85.2,High Distinction
STU0482,22,Female,Data Science,1,21.4,90.3,80.5,81.9,Yes,3.26,None,100.0,High Distinction
STU0483,20,Female,Information Technology,3,14.0,84.2,84.6,58.9,Yes,3.09,Sports,96.7,High Distinction
STU0484,21,Male,Business Analytics,4,19.6,70.1,71.8,75.5,Yes,2.92,Multiple,100.0,High Distinction
STU0485,21,Female,Computer Science,2,17.6,85.5,64.2,76.1,Yes,3.13,Sports,100.0,High Distinction
STU0486,23,Female,Computer Science,4,10.6,100.0,51.7,77.6,Yes,2.6,Multiple,86.4,Distinction
STU0487,18,Male,Data Science,1,16.4,88.4,82.7,42.6,Yes,3.1,Multiple,100.0,High Distinction
STU0488,20,Male,Business Analytics,2,3.9,83.5,77.5,83.1,Yes,3.12,None,89.4,High Distinction
STU0489,24,Male,Information Technology,3,18.6,93.7,59.4,59.5,Yes,2.37,None,100.0,Distinction
STU0490,23,Female,Data Science,4,16.8,85.9,65.0,62.6,Yes,3.5,Multiple,100.0,Distinction
STU0491,20,Female,Data Science,1,18.8,85.9,65.9,100.0,Yes,2.65,Sports,100.0,High Distinction
STU0492,21,Female,Computer Science,4,21.3,74.2,52.7,72.5,Yes,3.09,None,100.0,Distinction
STU0493,20,Male,Business Analytics,3,17.2,86.1,61.4,62.2,Yes,3.57,None,100.0,Distinction
STU0494,19,Male,Computer Science,2,15.9,93.3,57.3,34.9,No,3.47,Club,94.1,Credit
STU0495,20,Female,Data Science,1,9.7,76.5,66.6,88.8,Yes,3.07,Volunteer,100.0,High Distinction
STU0496,20,Male,Data Science,4,10.7,96.8,62.4,47.8,Yes,2.89,None,86.8,Credit
STU0497,21,Male,Software Engineering,1,22.1,83.2,50.8,52.9,Yes,3.48,None,100.0,Distinction
STU0498,18,Male,Computer Science,2,23.6,76.0,98.3,63.0,Yes,3.35,Multiple,100.0,High Distinction
STU0499,24,Female,Computer Science,2,13.6,93.0,88.3,89.2,Yes,2.77,Volunteer,100.0,High Distinction
STU0500,25,Male,Information Technology,4,15.3,81.4,61.9,79.6,Yes,2.69,Club,100.0,High Distinction
STU0501,22,Male,Information Technology,3,9.6,90.8,75.5,65.6,Yes,2.12,Volunteer,94.6,High Distinction
STU0502,21,Female,Information Technology,3,22.0,81.4,77.4,72.6,Yes,3.12,Sports,100.0,High Distinction
